w1	w2	count	mle_p	add1_p	add0.5_p	token_type_score
23.	97	1	1.00000000	0.00222717	0.00333704	3.0000
3	ડી	1	1.00000000	0.00222717	0.00333704	3.0000
30,000	બાળકો	1	1.00000000	0.00222717	0.00333704	6.0000
32,000	થી	1	1.00000000	0.00222717	0.00333704	3.0000
359	.	1	1.00000000	0.00222717	0.00333704	2.0000
48.	જેમના	1	1.00000000	0.00222717	0.00333704	6.0000
55,040	હતો	1	1.00000000	0.00222717	0.00333704	4.0000
80	દર્દીઓમાં	1	1.00000000	0.00222717	0.00333704	9.0000
83,000	ડોલરની	1	1.00000000	0.00222717	0.00333704	7.0000
97	ડોલર	1	1.00000000	0.00222717	0.00333704	5.0000
?	.	1	1.00000000	0.00222717	0.00333704	2.0000
Deep@Gmi.com	,	1	1.00000000	0.00222717	0.00333704	2.0000
https://hello.com	તેવાં	1	1.00000000	0.00222717	0.00333704	6.0000
અંકલેશ્વર	આવી	1	1.00000000	0.00222717	0.00333704	4.0000
અંતે	કોઈ	1	1.00000000	0.00222717	0.00333704	4.0000
અંદર	આત્મવિશ્વાસનો	1	0.50000000	0.00222469	0.00332963	12.0000
અંદર	એવી	1	0.50000000	0.00222469	0.00332963	4.0000
અગવડતાને	કારણે	1	1.00000000	0.00222717	0.00333704	6.0000
અગ્રવાલને	પકડવા	1	1.00000000	0.00222717	0.00333704	6.0000
અગ્રવાલે	ખેડુતોને	1	1.00000000	0.00222717	0.00333704	8.0000
અટકે	કરશે	1	1.00000000	0.00222717	0.00333704	5.0000
અઠવાડિયાના	અંતે	1	1.00000000	0.00222717	0.00333704	5.0000
અઠવાડિયામાં	એક	1	1.00000000	0.00222717	0.00333704	3.0000
અઠવાડિયે	ખર્ચો	1	1.00000000	0.00222717	0.00333704	6.0000
અથવા	કલાક	1	1.00000000	0.00222717	0.00333704	4.0000
અધ્યક્ષ	રાહુલ	1	1.00000000	0.00222717	0.00333704	6.0000
અનરજીસ્ટર્ડ	પર્સન	1	1.00000000	0.00222717	0.00333704	6.0000
અનલોડ	છે	1	1.00000000	0.00222717	0.00333704	3.0000
અનુભવ	નવો	1	1.00000000	0.00222717	0.00333704	4.0000
અનુસાર	,	1	1.00000000	0.00222717	0.00333704	2.0000
અને	અમદાવાદમાં	1	0.03571429	0.00216216	0.00314795	7.0000
અને	આ	1	0.03571429	0.00216216	0.00314795	2.0000
અને	એસ્ટેટ	1	0.03571429	0.00216216	0.00314795	6.0000
અને	કહ્યું	1	0.03571429	0.00216216	0.00314795	7.0000
અને	ખૂબ	1	0.03571429	0.00216216	0.00314795	4.0000
અને	ગ્રેચ્યુઇટીમાં	1	0.03571429	0.00216216	0.00314795	14.0000
અને	જૂના	1	0.03571429	0.00216216	0.00314795	5.0000
અને	ડી	1	0.03571429	0.00216216	0.00314795	3.0000
અને	તેઓ	1	0.03571429	0.00216216	0.00314795	4.0000
અને	તેની	1	0.03571429	0.00216216	0.00314795	5.0000
અને	તેને	1	0.03571429	0.00216216	0.00314795	4.0000
અને	દાન	1	0.03571429	0.00216216	0.00314795	4.0000
અને	નેતાઓને	1	0.03571429	0.00216216	0.00314795	6.0000
અને	પર્સ	1	0.03571429	0.00216216	0.00314795	5.0000
અને	પુખ્ત	1	0.03571429	0.00216216	0.00314795	6.0000
અને	બે	1	0.03571429	0.00216216	0.00314795	3.0000
અને	મેઘાલયમાં	1	0.03571429	0.00216216	0.00314795	8.0000
અને	રબારી	1	0.03571429	0.00216216	0.00314795	5.0000
અને	રમુજી	1	0.03571429	0.00216216	0.00314795	6.0000
અને	રાજ્યસભાના	1	0.03571429	0.00216216	0.00314795	9.0000
અને	લોકો	1	0.03571429	0.00216216	0.00314795	4.0000
અને	વજન	1	0.03571429	0.00216216	0.00314795	4.0000
અને	વડોદરા	1	0.03571429	0.00216216	0.00314795	7.0000
અને	વિરસિંહને	1	0.03571429	0.00216216	0.00314795	9.0000
અને	વિશ્વના	1	0.03571429	0.00216216	0.00314795	7.0000
અને	શું	1	0.03571429	0.00216216	0.00314795	4.0000
અને	સમૃદ્ધ	1	0.03571429	0.00216216	0.00314795	7.0000
અને	સારો	1	0.03571429	0.00216216	0.00314795	5.0000
અનેક	વેધક	1	1.00000000	0.00222717	0.00333704	5.0000
અન્ય	વેપારીઓને	1	1.00000000	0.00222717	0.00333704	9.0000
અપરાધ	દ્રશ્ય	1	1.00000000	0.00222717	0.00333704	6.0000
અપાયુ	હતુ	1	1.00000000	0.00222717	0.00333704	4.0000
અભાવ	દેખાવા	1	1.00000000	0.00222717	0.00333704	6.0000
અભિપ્રાય	લિધો	1	1.00000000	0.00222717	0.00333704	5.0000
અમદાવાદ	તેમજ	1	1.00000000	0.00222717	0.00333704	5.0000
અમદાવાદમાં	બૂટલેગર	1	1.00000000	0.00222717	0.00333704	8.0000
અમને	આસપાસ	1	1.00000000	0.00222717	0.00333704	5.0000
અમિતાભ	બચ્ચના	1	1.00000000	0.00222717	0.00333704	6.0000
અમેરિકાની	વૈશ્વિક	1	1.00000000	0.00222717	0.00333704	7.0000
અમેરિકામાં	32,000	1	1.00000000	0.00222717	0.00333704	5.0000
અર્પણ	કર્યા	1	1.00000000	0.00222717	0.00333704	6.0000
અલગ	અલગ	1	0.50000000	0.00222469	0.00332963	4.0000
અલગ	ટીમો	1	0.50000000	0.00222469	0.00332963	5.0000
અવલોકન	કર્યું	1	1.00000000	0.00222717	0.00333704	7.0000
અવસાન	પામેલ	1	1.00000000	0.00222717	0.00333704	6.0000
અવાજ	સુનાવણી	1	1.00000000	0.00222717	0.00333704	8.0000
અવાઝ	ઉઠાવવો	1	1.00000000	0.00222717	0.00333704	6.0000
અહીંયાં	આપણે	1	1.00000000	0.00222717	0.00333704	5.0000
અહેમદ	પટેલ	1	1.00000000	0.00222717	0.00333704	5.0000
આ	અઠવાડિયે	1	0.04761905	0.00217865	0.00319489	9.0000
આ	આંકડો	1	0.04761905	0.00217865	0.00319489	6.0000
આ	આરોપીને	1	0.04761905	0.00217865	0.00319489	8.0000
આ	ઉદ્ઘાટન	1	0.04761905	0.00217865	0.00319489	8.0000
આ	કિસ્સામાં	1	0.04761905	0.00217865	0.00319489	8.0000
આ	ક્ષેત્રના	1	0.04761905	0.00217865	0.00319489	9.0000
આ	ક્ષેત્રે	1	0.04761905	0.00217865	0.00319489	7.0000
આ	ખાસ	1	0.04761905	0.00217865	0.00319489	4.0000
આ	જાદુઈ	1	0.04761905	0.00217865	0.00319489	6.0000
આ	ઠેકાઓ	1	0.04761905	0.00217865	0.00319489	6.0000
આ	નિર્ણય	1	0.04761905	0.00217865	0.00319489	7.0000
આ	બધી	1	0.04761905	0.00217865	0.00319489	4.0000
આ	ભયના	1	0.04761905	0.00217865	0.00319489	5.0000
આ	મુદ્દે	1	0.04761905	0.00217865	0.00319489	6.0000
આ	સજ્જન	1	0.04761905	0.00217865	0.00319489	5.0000
આ	સારા	1	0.04761905	0.00217865	0.00319489	4.0000
આ	સિન્ડ્રોમ	1	0.04761905	0.00217865	0.00319489	9.0000
આંકડો	માટે	1	1.00000000	0.00222717	0.00333704	5.0000
આઇ	એચ	1	1.00000000	0.00222717	0.00333704	3.0000
આઇટીપી	નું	1	1.00000000	0.00222717	0.00333704	4.0000
આખરે	આ	1	0.50000000	0.00222469	0.00332963	2.0000
આખરે	ત્રણ	1	0.50000000	0.00222469	0.00332963	5.0000
આગ	ભરૂચથી	1	1.00000000	0.00222717	0.00333704	7.0000
આગળ	યોનિમાર્ગ	1	1.00000000	0.00222717	0.00333704	10.0000
આગામી	પાંચ	1	1.00000000	0.00222717	0.00333704	5.0000
આણંદ	,	1	1.00000000	0.00222717	0.00333704	2.0000
આત્મવિશ્વાસનો	અભાવ	1	1.00000000	0.00222717	0.00333704	5.0000
આદરી	હતી	1	1.00000000	0.00222717	0.00333704	4.0000
આદીવાસી	ખેડુતોને	1	1.00000000	0.00222717	0.00333704	8.0000
આપ	તે	1	1.00000000	0.00222717	0.00333704	3.0000
આપઘાત	કરી	1	1.00000000	0.00222717	0.00333704	4.0000
આપણાં	શાસ્ત્રોમાં	1	1.00000000	0.00222717	0.00333704	10.0000
આપણે	કઈ	1	1.00000000	0.00222717	0.00333704	3.0000
આપનાં	પેરેન્ટ્સે	1	1.00000000	0.00222717	0.00333704	8.0000
આપને	કહી	1	1.00000000	0.00222717	0.00333704	4.0000
આપવા	માટે	1	1.00000000	0.00222717	0.00333704	5.0000
આપવામાં	આવી	1	1.00000000	0.00222717	0.00333704	4.0000
આપી	.	1	0.50000000	0.00222469	0.00332963	2.0000
આપી	ન	1	0.50000000	0.00222469	0.00332963	2.0000
આપીને	!	1	1.00000000	0.00222717	0.00333704	2.0000
આપીશ	તેમ	1	1.00000000	0.00222717	0.00333704	4.0000
આપ્યું	હતું	1	1.00000000	0.00222717	0.00333704	5.0000
આબુથી	આવતો	1	1.00000000	0.00222717	0.00333704	5.0000
આમ	,	1	0.50000000	0.00222469	0.00332963	2.0000
આમ	આ	1	0.50000000	0.00222469	0.00332963	2.0000
આરોપ	આ	1	1.00000000	0.00222717	0.00333704	2.0000
આરોપી	કલ્પેશ	1	0.33333333	0.00222222	0.00332226	7.0000
આરોપીને	મહારાષ્ટ્રથી	1	1.00000000	0.00222717	0.00333704	10.0000
આવકને	નુકશાન	1	1.00000000	0.00222717	0.00333704	6.0000
આવતો	દારૃનો	1	1.00000000	0.00222717	0.00333704	7.0000
આવા	કપરા	1	1.00000000	0.00222717	0.00333704	5.0000
આવી	પહોંચ્યાં	1	0.33333333	0.00222222	0.00332226	9.0000
આવે	.	1	0.25000000	0.00221976	0.00331492	2.0000
આવેલી	છે	1	1.00000000	0.00222717	0.00333704	3.0000
આવ્યા	.	1	0.33333333	0.00222222	0.00332226	2.0000
આવ્યો	છે	1	1.00000000	0.00222717	0.00333704	3.0000
આશરા	ઉ	1	1.00000000	0.00222717	0.00333704	2.0000
આશિર્વાદ	યાત્રા	1	1.00000000	0.00222717	0.00333704	6.0000
આશીર્વાદ	યાત્રા	1	1.00000000	0.00222717	0.00333704	6.0000
આસપાસ	મન	1	1.00000000	0.00222717	0.00333704	3.0000
ઇચ્છતી	હતી	1	1.00000000	0.00222717	0.00333704	4.0000
ઇન્ડસ્ટ્રીઝના	નામે	1	1.00000000	0.00222717	0.00333704	5.0000
ઇન્સ્ટિટયૂટ	ડબ્લ્યૂઆરઆઇ	1	1.00000000	0.00222717	0.00333704	10.0000
ઇન્સ્ટીટયૂટનું	લોકાર્પણ	1	1.00000000	0.00222717	0.00333704	9.0000
ઇન્હેલેશન	ડીપીટી	1	1.00000000	0.00222717	0.00333704	5.0000
ઈન્દોરના	એક	1	1.00000000	0.00222717	0.00333704	3.0000
ઉ	.	1	1.00000000	0.00222717	0.00333704	2.0000
ઉખાણાઓ	એક	1	0.50000000	0.00222469	0.00332963	3.0000
ઉખાણાઓ	બાળકો	1	0.50000000	0.00222469	0.00332963	6.0000
ઉઘરાવેલ	રૂા	1	1.00000000	0.00222717	0.00333704	4.0000
ઉઠાવવો	પડશે	1	1.00000000	0.00222717	0.00333704	5.0000
ઉઠ્યો	,	1	1.00000000	0.00222717	0.00333704	2.0000
ઉતારવામાં	આવે	1	1.00000000	0.00222717	0.00333704	4.0000
ઉત્તર	આમ	1	0.33333333	0.00222222	0.00332226	3.0000
ઉત્તર	ગુજરાતમાં	1	0.33333333	0.00222222	0.00332226	9.0000
ઉત્તર	પ્રદેશમાં	1	0.33333333	0.00222222	0.00332226	10.0000
ઉત્પન્ન	થવા	1	1.00000000	0.00222717	0.00333704	4.0000
ઉદાહરણ	તરીકે	1	1.00000000	0.00222717	0.00333704	6.0000
ઉદ્ઘાટન	પ્રસંગે	1	1.00000000	0.00222717	0.00333704	8.0000
ઉપયોગ	કરાયો	1	1.00000000	0.00222717	0.00333704	6.0000
ઉપરાંત	મુસાફરી	1	1.00000000	0.00222717	0.00333704	8.0000
ઉમળકાભેર	રહેતા	1	1.00000000	0.00222717	0.00333704	6.0000
ઉષ્ણતા	બિંદુ	1	1.00000000	0.00222717	0.00333704	6.0000
ઊંચા	જોખમ	1	1.00000000	0.00222717	0.00333704	5.0000
એ	કાર્ય	1	0.25000000	0.00221976	0.00331492	6.0000
એ	જણાવ્યું	1	0.25000000	0.00221976	0.00331492	9.0000
એ	જોવું	1	0.25000000	0.00221976	0.00331492	6.0000
એ	બીજા	1	0.25000000	0.00221976	0.00331492	5.0000
એક	કપ	1	0.11111111	0.00220751	0.00327869	3.0000
એક	નવી	1	0.11111111	0.00220751	0.00327869	4.0000
એક	પોલીસ	1	0.11111111	0.00220751	0.00327869	6.0000
એક	વખત	1	0.11111111	0.00220751	0.00327869	4.0000
એક	વિકલ્પ	1	0.11111111	0.00220751	0.00327869	7.0000
એક	વૃદ્ધ	1	0.11111111	0.00220751	0.00327869	6.0000
એક	સંપત્તિ	1	0.11111111	0.00220751	0.00327869	7.0000
એક	સ્વતંત્ર	1	0.11111111	0.00220751	0.00327869	7.0000
એક	સ્વવેના	1	0.11111111	0.00220751	0.00327869	7.0000
એકનું	મોત	1	1.00000000	0.00222717	0.00333704	4.0000
એક્સચેન્જો	સાથે	1	1.00000000	0.00222717	0.00333704	5.0000
એક્સ્ચેન્જર	પૂરી	1	1.00000000	0.00222717	0.00333704	5.0000
એચ	જી	1	1.00000000	0.00222717	0.00333704	3.0000
એટલી	સારી	1	1.00000000	0.00222717	0.00333704	5.0000
એનર્જી	ક્ષેત્રમાં	1	1.00000000	0.00222717	0.00333704	10.0000
એન્જીનીયર	તે	1	1.00000000	0.00222717	0.00333704	3.0000
એન્ડ	હાર્ટ	1	1.00000000	0.00222717	0.00333704	6.0000
એમ	અમેરિકાની	1	1.00000000	0.00222717	0.00333704	10.0000
એમણે	તમારો	1	1.00000000	0.00222717	0.00333704	6.0000
એલાન	પણ	1	1.00000000	0.00222717	0.00333704	3.0000
એવી	લાગણી	1	1.00000000	0.00222717	0.00333704	6.0000
એસ	પી	1	0.33333333	0.00222222	0.00332226	3.0000
એસ્ટેટ	આપી	1	1.00000000	0.00222717	0.00333704	4.0000
ઓપી	કોહલી	1	1.00000000	0.00222717	0.00333704	6.0000
ઓફ	લેબર	1	1.00000000	0.00222717	0.00333704	5.0000
કંડલા	પોર્ટ	1	1.00000000	0.00222717	0.00333704	6.0000
કંપની	તેઓ	1	1.00000000	0.00222717	0.00333704	4.0000
કઈ	રીતે	1	1.00000000	0.00222717	0.00333704	5.0000
કન્ટેનર	પાછળ	1	1.00000000	0.00222717	0.00333704	5.0000
કપ	સાથે	1	1.00000000	0.00222717	0.00333704	5.0000
કપરા	સમયમાં	1	1.00000000	0.00222717	0.00333704	6.0000
કરતા	ખળભળાટ	1	1.00000000	0.00222717	0.00333704	6.0000
કરતાં	સ્વવેન	1	1.00000000	0.00222717	0.00333704	6.0000
કરવા	માટે	1	1.00000000	0.00222717	0.00333704	5.0000
કરવાની	માગણી	1	1.00000000	0.00222717	0.00333704	6.0000
કરવાનું	છે	1	0.50000000	0.00222469	0.00332963	3.0000
કરવાનું	મહત્ત્વ	1	0.50000000	0.00222469	0.00332963	6.0000
કરવાનો	અનુભવ	1	1.00000000	0.00222717	0.00333704	6.0000
